question,slug,url,text,image_urls,n_images
1,q1-which-vowel-sound-do-you-pronounce-in-the-word-been,https://dialectsurvey.wordpress.com/2018/10/24/q1-which-vowel-sound-do-you-pronounce-in-the-word-been/,Which vowel sound do you pronounce in the word been?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-1-bin-not-ben.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-2-ben-not-bin.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-3-been-ben-bin-all-same.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-4-been-same-as-bean.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-5-bin-or-ben.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-1-6-ben-but-bin.png,6
2,q2-do-you-pronounce-can-meaning-be-able-the-same-as-can-the-container,https://dialectsurvey.wordpress.com/2019/08/14/q2-do-you-pronounce-can-meaning-be-able-the-same-as-can-the-container/,"Do you pronounce “can” (meaning “be able,” as in “Yes, I can”) the same as “can” (the container, as in “tin can”)?",https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.2.1-can-can.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.2.2-can-and-can-different.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.2.3-not-sure-if-can-can.png,3
18,q18-how-do-you-pronounce-the-first-vowel-in-sorry,https://dialectsurvey.wordpress.com/2020/11/14/q18-how-do-you-pronounce-the-first-vowel-in-sorry/,How do you pronounce the first vowel in sorry?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.18.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.18.2.png,2
24,q24-how-do-you-pronounce-tune,https://dialectsurvey.wordpress.com/2020/11/13/q24-how-do-you-pronounce-tune/,How do you pronounce tune?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.24.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.24.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.24.3-1.png,3
25,q25-do-you-pronounce-which-and-witch-the-same,https://dialectsurvey.wordpress.com/2018/10/27/q25-do-you-pronounce-which-and-witch-the-same/,Do you pronounce “which” and “witch” the same?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-25-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-25-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-25-3.png,3
26,q26-how-do-you-pronounce-younger,https://dialectsurvey.wordpress.com/2018/10/18/q26-how-do-you-pronounce-younger/,How do you pronounce younger?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-26-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-26-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-26-3.png,3
29,q29-is-the-name-different-if-its-a-hot-sandwich,https://dialectsurvey.wordpress.com/2020/11/14/q29-is-the-name-different-if-its-a-hot-sandwich/,"Is the name different if it’s a hot sandwich? If you use the same name for this kind of sandwich whether it’s hot or cold, pick “I have no special word for this”; only select another choice if you use a different name for the hot sandwich.",https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.3-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.4-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.5-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.6-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.7-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.8-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.9.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.29.10.png,10
31,q31-what-is-your-general-term-for-carbonated-water-with-no-sweetener,https://dialectsurvey.wordpress.com/2020/11/14/q31-what-is-your-general-term-for-carbonated-water-with-no-sweetener/,What is your general term for carbonated water with no sweetener?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.4-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.5-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.6-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.7-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.31.8-1.png,8
38,q38-what-do-you-call-a-knit-wool-hat-that-you-might-wear-to-keep-your-head-warm-during-the-winter,https://dialectsurvey.wordpress.com/2018/10/14/q38-what-do-you-call-a-knit-wool-hat-that-you-might-wear-to-keep-your-head-warm-during-the-winter/,What do you call a knit wool hat that you might wear to keep your head warm during the winter?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-1-stocking-cap.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-2-hat.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-3-no-term.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-4-chook.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-5-toque.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-6-toboggan.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-7-beanie.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-8-scally-cap.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-9-ski-cap.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-10-cloche.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-38-11-watchcap.png,11
39,q39-what-do-you-call-the-bag-in-which-you-might-carry-schoolbooks-or-gear-for-a-camping-trip,https://dialectsurvey.wordpress.com/2018/10/19/q39-what-do-you-call-the-bag-in-which-you-might-carry-schoolbooks-or-gear-for-a-camping-trip/,"What do you call the bag in which you might carry schoolbooks, or gear for a camping trip?",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-39-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-39-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-39-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-39-4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-39-5.png,5
