question,text,n_choices,w_total,best_sigma,best_sigma_cont,ll_deployed8,ll_s2,ll_s3,ll_s4,ll_s5,ll_s6,ll_s8,ll_s10,ll_s12,ll_s16,ll_s20,ll_s24,ll_s32,tv_dom,moran_dom,acl_dom,tv_wt,moran_wt,acl_wt
1,aunt,8,17106.72559,32.00000,32.00000,1.86389,2.28095,2.17470,2.07509,1.99481,1.93503,1.86389,1.83060,1.81319,1.79646,1.79183,1.78985,1.78763,0.13055,0.99349,40.00000,0.17676,0.97915,25.40994
2,been,4,16246.28662,20.00000,21.39321,1.26509,1.50109,1.44306,1.38551,1.34018,1.30561,1.26509,1.24414,1.23395,1.22631,1.22483,1.22509,1.22615,0.13826,0.98914,29.00000,0.15990,0.98295,23.74812
3,"the first vowel in ""Bowie knife""",5,16527.79443,32.00000,32.00000,1.42268,1.68804,1.61619,1.55104,1.50318,1.46770,1.42268,1.40355,1.39661,1.39220,1.39062,1.38955,1.38762,0.13523,0.99163,33.00000,0.16384,0.98032,23.26734
4,caramel,5,19013.36426,16.00000,17.41452,1.57648,1.84273,1.77005,1.70819,1.66253,1.62596,1.57648,1.55268,1.54262,1.53770,1.53855,1.53982,1.54069,0.14455,0.99115,40.00000,0.16578,0.98110,24.67502
5,"the vowel in the second syllable of ""cauliflower""",3,14670.24365,32.00000,32.00000,1.02405,1.22077,1.17376,1.12338,1.08282,1.05427,1.02405,1.00983,1.00236,0.99531,0.99201,0.98996,0.98780,0.13345,0.99136,40.00000,0.15361,0.98541,29.31941
6,"the last vowel in ""centaur""",5,19953.83984,32.00000,32.00000,1.65403,1.93776,1.86225,1.79175,1.73692,1.69647,1.65403,1.63662,1.62938,1.62482,1.62349,1.62283,1.62265,0.14517,0.98790,40.00000,0.16699,0.98078,24.09990
7,coupon,3,15129.56494,16.00000,17.15253,0.97951,1.13692,1.09268,1.05510,1.02628,1.00394,0.97951,0.96867,0.96425,0.96218,0.96274,0.96353,0.96426,0.13725,0.98978,25.00000,0.14862,0.98587,26.24890
8,Craig (the name),5,19932.68457,24.00000,24.38950,1.51723,1.76844,1.70309,1.63970,1.59166,1.55632,1.51723,1.50078,1.49413,1.49015,1.48916,1.48892,1.48966,0.15448,0.98465,21.00000,0.16433,0.98064,18.74702
9,crayon,5,17589.42285,32.00000,32.00000,1.38540,1.60597,1.55395,1.50305,1.46088,1.42791,1.38540,1.36227,1.35011,1.33866,1.33538,1.33436,1.33399,0.14082,0.98744,27.00000,0.16181,0.98379,20.81897
10,creek (a small body of running water),6,14424.49023,32.00000,32.00000,1.42601,1.77872,1.69167,1.61285,1.54485,1.49093,1.42601,1.39502,1.37882,1.36075,1.35289,1.34918,1.34295,0.13129,0.99086,31.00000,0.16286,0.98766,25.58525
11,"the first vowel in ""Florida""",5,15657.90820,32.00000,32.00000,1.46215,1.79769,1.72392,1.64682,1.58478,1.53178,1.46215,1.42743,1.41033,1.39592,1.38966,1.38592,1.38161,0.13017,0.99282,40.00000,0.16555,0.98145,27.33449
12,flourish,4,16982.00732,24.00000,27.60708,1.32408,1.58552,1.52254,1.45927,1.40891,1.37151,1.32408,1.29938,1.28782,1.27976,1.27783,1.27733,1.27740,0.13320,0.99042,40.00000,0.16061,0.97883,27.50862
13,"the last vowel in ""handkerchief""",3,13992.01465,32.00000,32.00000,0.95270,1.14137,1.10174,1.05861,1.02129,0.99061,0.95270,0.93374,0.92468,0.91784,0.91554,0.91471,0.91451,0.13263,0.99034,40.00000,0.15055,0.98564,31.82553
14,lawyer,4,15044.91553,32.00000,32.00000,1.21790,1.43360,1.37706,1.32448,1.28528,1.25592,1.21790,1.19627,1.18517,1.17682,1.17404,1.17269,1.17123,0.13808,0.99130,30.00000,0.15659,0.98525,30.37505
