uwm_question,hds_question,ratio,confidence,method,uwm_text,hds_text
543,1,0.82,medium,contain,How do you pronounce aunt?,aunt
150,3,0.5769,low,sm,How do you pronounce the first vowel in bouquet?,"the first vowel in ""Bowie knife"""
102,4,0.82,medium,contain,How do you pronounce caramel?,caramel
153,5,0.8684,high,sm,How do you pronounce the vowel in the second syllable of cauliflower?,"the vowel in the second syllable of ""cauliflower"""
351,6,0.82,medium,contain,How do you pronounce the last vowel sound in centaur?,"the last vowel in ""centaur"""
175,7,0.3636,low,sm,How do you pronounce almond?,coupon
25,8,0.4,low,sm,Do you pronounce “which” and “witch” the same?,Craig (the name)
26,9,0.3478,low,sm,How do you pronounce younger?,crayon
300,10,0.4359,low,sm,"When a small sharp fragment of wood gets stuck in your finger, you have a —",creek (a small body of running water)
18,11,0.6087,low,sm,How do you pronounce the first vowel in sorry?,"the first vowel in ""Florida"""
467,12,0.3846,low,sm,How do you pronounce asterisk?,flourish
351,13,0.5263,low,sm,How do you pronounce the last vowel sound in centaur?,"the last vowel in ""handkerchief"""
302,14,0.4286,low,sm,What is a waterbug?,lawyer
102,15,0.6512,low,sm,How do you pronounce caramel?,How do you pronounce Mary/merry/marry?
160,16,0.5,low,sm,How do you pronounce vase?,mayonnaise
113,17,0.6122,low,sm,How do you pronounce the first vowel in treasure?,"the first vowel in ""miracle"""
427,18,0.3704,low,sm,"I know you think I broke your favorite vase intentionally, but I swear I did it ….",mischievous vs. mischievious
461,19,0.5079,low,sm,How do you pronounce the last vowel sound in turbine?,"the final vowel in ""Monday,"" ""Friday,"" etc."
51,20,0.625,low,sm,How do you pronounce the second vowel in again?,"the second vowel in ""pajamas"""
301,21,0.5,low,sm,What is a spa?,pecan
123,22,0.82,reject,contain,What about “used to could” to mean “used to be able to” (as in “I used to could recite the entire poem from memory”)?,poem
343,23,0.82,reject,contain,What do you call a small hard rubber ball that is designed to bounce really high?,really
351,24,0.4407,low,sm,How do you pronounce the last vowel sound in centaur?,realtor (a real estate agent)
174,25,0.6087,low,sm,How do you pronounce the vowel in room and broom?,"roof, room, broom, root"
26,26,0.5556,low,sm,How do you pronounce younger?,"route (as in, ""the route from one place to another"")"
18,27,0.6364,low,sm,How do you pronounce the first vowel in sorry?,"the first vowel in ""syrup"""
25,28,0.7556,reject,sm,Do you pronounce “which” and “witch” the same?,"Do you pronounce ""cot"" and ""caught"" the same?"
175,29,0.82,medium,contain,How do you pronounce almond?,almond
